timestamp,cpu_watts,gpu_watts
2026-05-10T16:05:19.457996Z,71.968,10.760
2026-05-10T16:05:19.497573Z,69.665,10.760
2026-05-10T16:05:19.534950Z,63.326,10.760
2026-05-10T16:05:19.574391Z,58.244,10.760
2026-05-10T16:05:19.611363Z,59.799,10.760
2026-05-10T16:05:19.648606Z,55.909,10.760
2026-05-10T16:05:19.685731Z,56.237,10.760
2026-05-10T16:05:19.723174Z,58.564,10.760
2026-05-10T16:05:19.760381Z,58.629,10.760
2026-05-10T16:05:19.798110Z,57.333,10.580
2026-05-10T16:05:19.835491Z,56.814,10.580
2026-05-10T16:05:19.872460Z,60.394,10.580
2026-05-10T16:05:19.912740Z,61.814,10.580
2026-05-10T16:05:19.948490Z,65.271,10.580
2026-05-10T16:05:19.990076Z,84.413,10.580
2026-05-10T16:05:20.029193Z,77.399,10.580
2026-05-10T16:05:20.065956Z,74.182,10.580
2026-05-10T16:05:20.101832Z,66.280,10.580
2026-05-10T16:05:20.139893Z,59.532,10.580
2026-05-10T16:05:20.176654Z,73.327,10.580
2026-05-10T16:05:20.215012Z,74.870,10.580
2026-05-10T16:05:20.252789Z,65.076,10.580
2026-05-10T16:05:20.289392Z,64.726,10.580
2026-05-10T16:05:20.325031Z,64.043,10.580
2026-05-10T16:05:20.362933Z,68.141,10.580
2026-05-10T16:05:20.400497Z,65.519,10.580
2026-05-10T16:05:20.438521Z,59.607,10.580
2026-05-10T16:05:20.480081Z,70.741,10.580
2026-05-10T16:05:20.519095Z,87.662,10.580
2026-05-10T16:05:20.555779Z,74.439,10.580
2026-05-10T16:05:20.592821Z,63.363,10.580
2026-05-10T16:05:20.629806Z,63.441,10.580
2026-05-10T16:05:20.666162Z,66.615,10.580
2026-05-10T16:05:20.703746Z,64.159,10.580
2026-05-10T16:05:20.742171Z,62.446,10.580
2026-05-10T16:05:20.779110Z,61.329,10.580
2026-05-10T16:05:20.817321Z,60.884,10.260
2026-05-10T16:05:20.853078Z,56.044,10.260
2026-05-10T16:05:20.890307Z,60.173,10.260
2026-05-10T16:05:20.928641Z,58.319,10.260
2026-05-10T16:05:20.966381Z,56.650,10.260
2026-05-10T16:05:21.008564Z,60.775,10.260
2026-05-10T16:05:21.046707Z,68.839,10.260
2026-05-10T16:05:21.083383Z,59.780,10.260
2026-05-10T16:05:21.122587Z,58.028,10.260
2026-05-10T16:05:21.160522Z,57.862,10.260
2026-05-10T16:05:21.196870Z,82.255,10.260
2026-05-10T16:05:21.233687Z,73.301,10.260
2026-05-10T16:05:21.270921Z,68.646,10.260
2026-05-10T16:05:21.309438Z,62.215,10.260
2026-05-10T16:05:21.346185Z,57.735,10.260
2026-05-10T16:05:21.383098Z,54.505,10.260
2026-05-10T16:05:21.421612Z,57.932,10.260
2026-05-10T16:05:21.458513Z,58.090,10.260
2026-05-10T16:05:21.499734Z,86.437,10.260
2026-05-10T16:05:21.536667Z,90.364,10.260
2026-05-10T16:05:21.573971Z,84.924,10.260
2026-05-10T16:05:21.611304Z,75.091,10.260
2026-05-10T16:05:21.648235Z,64.342,10.260
2026-05-10T16:05:21.685678Z,63.765,10.260
2026-05-10T16:05:21.723341Z,62.574,10.260
2026-05-10T16:05:21.760276Z,62.636,10.260
2026-05-10T16:05:21.797028Z,59.746,10.750
2026-05-10T16:05:21.834652Z,58.457,10.750
2026-05-10T16:05:21.871874Z,59.543,10.750
2026-05-10T16:05:21.910216Z,58.703,10.750
2026-05-10T16:05:21.949023Z,57.524,10.750
2026-05-10T16:05:21.989574Z,69.292,10.750
2026-05-10T16:05:22.038705Z,163.925,11.030
2026-05-10T16:05:22.065722Z,147.528,11.030
2026-05-10T16:05:22.090495Z,69.923,11.030
2026-05-10T16:05:22.119677Z,146.632,10.960
2026-05-10T16:05:22.149392Z,193.211,10.960
2026-05-10T16:05:22.178249Z,127.492,10.960
2026-05-10T16:05:22.204908Z,90.053,10.830
2026-05-10T16:05:22.237166Z,193.592,10.830
2026-05-10T16:05:22.269010Z,168.519,10.830
2026-05-10T16:05:22.294570Z,64.154,10.830
2026-05-10T16:05:22.328102Z,162.537,10.730
2026-05-10T16:05:22.354730Z,190.493,10.730
2026-05-10T16:05:22.381139Z,128.110,10.730
2026-05-10T16:05:22.407012Z,76.414,10.610
2026-05-10T16:05:22.437712Z,197.282,10.610
2026-05-10T16:05:22.469367Z,193.134,10.610
2026-05-10T16:05:22.495010Z,70.876,10.610
2026-05-10T16:05:22.524132Z,154.736,10.510
2026-05-10T16:05:22.552227Z,194.815,10.510
2026-05-10T16:05:22.578909Z,178.111,10.510
2026-05-10T16:05:22.604007Z,71.967,10.440
2026-05-10T16:05:22.634399Z,191.624,10.440
2026-05-10T16:05:22.664749Z,198.211,10.440
2026-05-10T16:05:22.693473Z,121.352,10.440
2026-05-10T16:05:22.719352Z,142.185,10.350
2026-05-10T16:05:22.749363Z,192.908,10.350
2026-05-10T16:05:22.777542Z,192.270,10.350
2026-05-10T16:05:22.803665Z,88.394,10.280
2026-05-10T16:05:22.833319Z,190.174,10.280
2026-05-10T16:05:22.858977Z,185.778,10.280
2026-05-10T16:05:22.886858Z,182.186,10.280
2026-05-10T16:05:22.912381Z,114.069,9.430
2026-05-10T16:05:22.945562Z,191.434,9.430
2026-05-10T16:05:22.976752Z,189.066,9.430
2026-05-10T16:05:23.004820Z,119.153,9.390
2026-05-10T16:05:23.033568Z,188.914,9.390
2026-05-10T16:05:23.070947Z,192.378,9.390
2026-05-10T16:05:23.113683Z,156.756,9.390
2026-05-10T16:05:23.153125Z,189.458,9.390
2026-05-10T16:05:23.197586Z,178.636,9.390
2026-05-10T16:05:23.238945Z,173.257,9.390
2026-05-10T16:05:23.282850Z,191.082,9.390
2026-05-10T16:05:23.324292Z,163.901,9.390
2026-05-10T16:05:23.367827Z,187.001,9.390
2026-05-10T16:05:23.407360Z,175.478,9.390
2026-05-10T16:05:23.451869Z,186.794,9.390
2026-05-10T16:05:23.508910Z,181.281,9.390
2026-05-10T16:05:23.547946Z,186.645,9.390
2026-05-10T16:05:23.591957Z,190.357,9.390
2026-05-10T16:05:23.640958Z,181.730,9.390
2026-05-10T16:05:23.686034Z,187.868,9.390
2026-05-10T16:05:23.737365Z,178.806,9.390
2026-05-10T16:05:23.773124Z,189.000,9.390
2026-05-10T16:05:23.818392Z,183.559,9.390
2026-05-10T16:05:23.861559Z,188.121,9.390
2026-05-10T16:05:23.905198Z,188.478,9.390
2026-05-10T16:05:23.947335Z,187.269,9.390
2026-05-10T16:05:23.987792Z,188.107,10.010
2026-05-10T16:05:24.035787Z,186.128,10.010
2026-05-10T16:05:24.078073Z,186.071,10.010
2026-05-10T16:05:24.132601Z,190.269,10.010
2026-05-10T16:05:24.179156Z,189.333,10.010
2026-05-10T16:05:24.215681Z,191.095,10.010
2026-05-10T16:05:24.255914Z,187.925,10.010
2026-05-10T16:05:24.296094Z,187.047,10.010
2026-05-10T16:05:24.341346Z,184.799,10.010
2026-05-10T16:05:24.379442Z,188.155,10.010
2026-05-10T16:05:24.428367Z,184.249,10.010
2026-05-10T16:05:24.469845Z,187.711,10.010
2026-05-10T16:05:24.516355Z,185.199,10.010
2026-05-10T16:05:24.566904Z,185.800,10.010
